figure,dataset,x_axis,curve,x,certified_accuracy
7,Pubmed,Injected Nodes,Bagging,17,0.005
7,Pubmed,Injected Nodes,Bagging,18,0.005
7,Pubmed,Injected Nodes,Bagging,19,0.005
7,Pubmed,Injected Nodes,Bagging,20,0.005
7,Pubmed,Injected Nodes,Bagging,21,0.005
7,Pubmed,Injected Nodes,Bagging,22,0.005
7,Pubmed,Injected Nodes,Bagging,23,0.005
7,Pubmed,Injected Nodes,Bagging,24,0.005
7,Pubmed,Injected Nodes,Bagging,25,0.005
7,Pubmed,Injected Nodes,Bagging,26,0.005
7,Amazon-C,Injected Nodes,PGNNCert-N,0,0.816
7,Amazon-C,Injected Nodes,PGNNCert-N,1,0.805
7,Amazon-C,Injected Nodes,PGNNCert-N,2,0.806
7,Amazon-C,Injected Nodes,PGNNCert-N,3,0.801
7,Amazon-C,Injected Nodes,PGNNCert-N,4,0.795
7,Amazon-C,Injected Nodes,PGNNCert-N,5,0.789
7,Amazon-C,Injected Nodes,PGNNCert-N,6,0.779
7,Amazon-C,Injected Nodes,PGNNCert-N,7,0.772
7,Amazon-C,Injected Nodes,PGNNCert-N,8,0.793
7,Amazon-C,Injected Nodes,PGNNCert-N,9,0.782
7,Amazon-C,Injected Nodes,PGNNCert-N,10,0.771
7,Amazon-C,Injected Nodes,PGNNCert-N,11,0.767
7,Amazon-C,Injected Nodes,PGNNCert-N,12,0.76
7,Amazon-C,Injected Nodes,PGNNCert-N,13,0.755
7,Amazon-C,Injected Nodes,PGNNCert-N,14,0.748
7,Amazon-C,Injected Nodes,PGNNCert-N,15,0.741
7,Amazon-C,Injected Nodes,PGNNCert-N,16,0.737
7,Amazon-C,Injected Nodes,PGNNCert-N,17,0.73
7,Amazon-C,Injected Nodes,PGNNCert-N,18,0.721
7,Amazon-C,Injected Nodes,PGNNCert-N,19,0.716
7,Amazon-C,Injected Nodes,PGNNCert-N,20,0.709
7,Amazon-C,Injected Nodes,PGNNCert-N,21,0.702
7,Amazon-C,Injected Nodes,PGNNCert-N,22,0.693
7,Amazon-C,Injected Nodes,PGNNCert-N,23,0.682
7,Amazon-C,Injected Nodes,PGNNCert-N,24,0.67
7,Amazon-C,Injected Nodes,PGNNCert-N,25,0.656
7,Amazon-C,Injected Nodes,PGNNCert-N,26,0.638
7,Amazon-C,Injected Nodes,PGNNCert-E,1,0.789
7,Amazon-C,Injected Nodes,PGNNCert-E,2,0.78
7,Amazon-C,Injected Nodes,PGNNCert-E,3,0.747
7,Amazon-C,Injected Nodes,PGNNCert-E,4,0.71
7,Amazon-C,Injected Nodes,PGNNCert-E,5,0.559
7,Amazon-C,Injected Nodes,PGNNCert-E,6,0.074
7,Amazon-C,Injected Nodes,PGNNCert-E,7,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,8,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,9,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,10,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,11,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,13,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,14,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,15,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,16,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,17,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,18,0.011
7,Amazon-C,Injected Nodes,PGNNCert-E,19,0.011
7,Amazon-C,Injected Nodes,Bi-RS-Include,1,0.828
7,Amazon-C,Injected Nodes,Bi-RS-Include,2,0.763
7,Amazon-C,Injected Nodes,Bi-RS-Include,3,0.726
7,Amazon-C,Injected Nodes,Bi-RS-Include,4,0.668
7,Amazon-C,Injected Nodes,Bi-RS-Include,5,0.625
7,Amazon-C,Injected Nodes,Bi-RS-Include,6,0.583
7,Amazon-C,Injected Nodes,Bi-RS-Include,7,0.538
7,Amazon-C,Injected Nodes,Bi-RS-Include,8,0.495
7,Amazon-C,Injected Nodes,Bi-RS-Include,9,0.449
7,Amazon-C,Injected Nodes,Bi-RS-Include,10,0.411
7,Amazon-C,Injected Nodes,Bi-RS-Include,11,0.371
7,Amazon-C,Injected Nodes,Bi-RS-Include,12,0.337
7,Amazon-C,Injected Nodes,Bi-RS-Include,13,0.3
7,Amazon-C,Injected Nodes,Bi-RS-Include,14,0.261
7,Amazon-C,Injected Nodes,Bi-RS-Include,15,0.229
7,Amazon-C,Injected Nodes,Bi-RS-Include,16,0.195
7,Amazon-C,Injected Nodes,Bi-RS-Include,17,0.154
7,Amazon-C,Injected Nodes,Bi-RS-Include,18,0.114
7,Amazon-C,Injected Nodes,Bi-RS-Include,19,0.067
7,Amazon-C,Injected Nodes,Bi-RS-Include,24,0.013
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,0,0.897
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,1,0.854
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,2,0.845
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,3,0.836
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,4,0.826
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,5,0.815
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,6,0.801
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,7,0.792
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,8,0.774
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,9,0.755
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,10,0.734
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,11,0.714
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,12,0.691
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,13,0.663
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,14,0.63
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,15,0.592
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,16,0.54
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,17,0.469
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,18,0.374
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,19,0.217
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,20,0.016
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,21,0.014
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,22,0.014
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,23,0.014
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,24,0.014
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,25,0.014
7,Amazon-C,Injected Nodes,Bi-RS-Exclude,26,0.014
7,Amazon-C,Injected Nodes,RS,0,0.88
7,Amazon-C,Injected Nodes,RS,1,0.44
7,Amazon-C,Injected Nodes,RS,2,0.257
7,Amazon-C,Injected Nodes,RS,3,0.115
7,Amazon-C,Injected Nodes,RS,4,0.056
7,Amazon-C,Injected Nodes,RS,5,0.033
7,Amazon-C,Injected Nodes,RS,6,0.015
7,Amazon-C,Injected Nodes,RS,7,0.005
7,Amazon-C,Injected Nodes,RS,8,0.005
7,Amazon-C,Injected Nodes,RS,9,0.005
7,Amazon-C,Injected Nodes,RS,10,0.005
7,Amazon-C,Injected Nodes,RS,11,0.005
7,Amazon-C,Injected Nodes,RS,12,0.002
7,Amazon-C,Injected Nodes,Bagging,0,0.857
7,Amazon-C,Injected Nodes,Bagging,1,0.685
7,Amazon-C,Injected Nodes,Bagging,2,0.575
7,Amazon-C,Injected Nodes,Bagging,3,0.472
7,Amazon-C,Injected Nodes,Bagging,4,0.405
7,Amazon-C,Injected Nodes,Bagging,5,0.355
7,Amazon-C,Injected Nodes,Bagging,6,0.287
7,Amazon-C,Injected Nodes,Bagging,7,0.216
7,Amazon-C,Injected Nodes,Bagging,8,0.156
7,Amazon-C,Injected Nodes,Bagging,9,0.105
7,Amazon-C,Injected Nodes,Bagging,10,0.066
7,Amazon-C,Injected Nodes,Bagging,11,0.033
7,Amazon-C,Injected Nodes,Bagging,12,0.013
7,Amazon-C,Injected Nodes,Bagging,13,0.005
7,Amazon-C,Injected Nodes,Bagging,14,0.005
7,Amazon-C,Injected Nodes,Bagging,15,0.005
7,Amazon-C,Injected Nodes,Bagging,16,0.005
7,Amazon-C,Injected Nodes,Bagging,17,0.005
7,Amazon-C,Injected Nodes,Bagging,18,0.005
7,Amazon-C,Injected Nodes,Bagging,19,0.005
7,Amazon-C,Injected Nodes,Bagging,20,0.005
7,Amazon-C,Injected Nodes,Bagging,21,0.005
7,Amazon-C,Injected Nodes,Bagging,22,0.005
7,Amazon-C,Injected Nodes,Bagging,23,0.005
7,Amazon-C,Injected Nodes,Bagging,24,0.005
7,Amazon-C,Injected Nodes,Bagging,25,0.005
7,Amazon-C,Injected Nodes,Bagging,26,0.005
10,Cora-ML,Perturbation Size,S=80,0,0.666
10,Cora-ML,Perturbation Size,S=80,1,0.663
10,Cora-ML,Perturbation Size,S=80,2,0.663
10,Cora-ML,Perturbation Size,S=80,3,0.659
10,Cora-ML,Perturbation Size,S=80,4,0.659
10,Cora-ML,Perturbation Size,S=80,5,0.659
10,Cora-ML,Perturbation Size,S=80,6,0.657
10,Cora-ML,Perturbation Size,S=80,7,0.655
10,Cora-ML,Perturbation Size,S=80,8,0.653
10,Cora-ML,Perturbation Size,S=80,9,0.651
10,Cora-ML,Perturbation Size,S=80,10,0.646
10,Cora-ML,Perturbation Size,S=80,11,0.645
10,Cora-ML,Perturbation Size,S=80,12,0.641
10,Cora-ML,Perturbation Size,S=80,13,0.637
10,Cora-ML,Perturbation Size,S=80,14,0.636
10,Cora-ML,Perturbation Size,S=80,15,0.636
10,Cora-ML,Perturbation Size,S=80,16,0.633
10,Cora-ML,Perturbation Size,S=80,17,0.633
10,Cora-ML,Perturbation Size,S=80,36,0.721
10,Cora-ML,Perturbation Size,S=80,37,0.721
10,Cora-ML,Perturbation Size,S=80,38,0.721
10,Cora-ML,Perturbation Size,S=80,39,0.721
10,Cora-ML,Perturbation Size,S=60,0,0.68
10,Cora-ML,Perturbation Size,S=60,1,0.678
10,Cora-ML,Perturbation Size,S=60,2,0.678
10,Cora-ML,Perturbation Size,S=60,3,0.671
10,Cora-ML,Perturbation Size,S=60,4,0.671
10,Cora-ML,Perturbation Size,S=60,5,0.659
10,Cora-ML,Perturbation Size,S=60,6,0.651
10,Cora-ML,Perturbation Size,S=60,7,0.648
10,Cora-ML,Perturbation Size,S=60,8,0.648
10,Cora-ML,Perturbation Size,S=60,9,0.641
10,Cora-ML,Perturbation Size,S=60,10,0.639
10,Cora-ML,Perturbation Size,S=60,11,0.639
10,Cora-ML,Perturbation Size,S=60,12,0.638
10,Cora-ML,Perturbation Size,S=60,13,0.631
10,Cora-ML,Perturbation Size,S=60,14,0.629
10,Cora-ML,Perturbation Size,S=60,15,0.618
10,Cora-ML,Perturbation Size,S=60,16,0.614
10,Cora-ML,Perturbation Size,S=60,17,0.614
10,Cora-ML,Perturbation Size,S=60,36,0.817
10,Cora-ML,Perturbation Size,S=60,37,0.817
10,Cora-ML,Perturbation Size,S=60,38,0.817
10,Cora-ML,Perturbation Size,S=60,39,0.817
10,Cora-ML,Perturbation Size,S=40,1,0.651
10,Cora-ML,Perturbation Size,S=40,2,0.651
10,Cora-ML,Perturbation Size,S=40,3,0.646
10,Cora-ML,Perturbation Size,S=40,4,0.643
10,Cora-ML,Perturbation Size,S=40,5,0.641
10,Cora-ML,Perturbation Size,S=40,6,0.633
10,Cora-ML,Perturbation Size,S=40,7,0.623
10,Cora-ML,Perturbation Size,S=40,8,0.616
10,Cora-ML,Perturbation Size,S=40,9,0.609
10,Cora-ML,Perturbation Size,S=40,10,0.607
10,Cora-ML,Perturbation Size,S=40,11,0.599
10,Cora-ML,Perturbation Size,S=40,12,0.589
10,Cora-ML,Perturbation Size,S=40,13,0.582
10,Cora-ML,Perturbation Size,S=40,14,0.574
10,Cora-ML,Perturbation Size,S=40,15,0.559
10,Cora-ML,Perturbation Size,S=40,16,0.541
10,Cora-ML,Perturbation Size,S=40,17,0.51
10,Cora-ML,Perturbation Size,S=40,35,0.914
10,Cora-ML,Perturbation Size,S=40,36,0.914
10,Cora-ML,Perturbation Size,S=40,37,0.914
10,Cora-ML,Perturbation Size,S=40,38,0.914
10,Cora-ML,Perturbation Size,S=40,39,0.914
10,Citeseer,Perturbation Size,S=80,0,0.649
10,Citeseer,Perturbation Size,S=80,1,0.645
10,Citeseer,Perturbation Size,S=80,2,0.645
10,Citeseer,Perturbation Size,S=80,3,0.638
10,Citeseer,Perturbation Size,S=80,4,0.636
10,Citeseer,Perturbation Size,S=80,5,0.636
10,Citeseer,Perturbation Size,S=80,6,0.633
10,Citeseer,Perturbation Size,S=80,7,0.632
10,Citeseer,Perturbation Size,S=80,8,0.63
10,Citeseer,Perturbation Size,S=80,9,0.628
10,Citeseer,Perturbation Size,S=80,10,0.621
10,Citeseer,Perturbation Size,S=80,11,0.618
10,Citeseer,Perturbation Size,S=80,12,0.617
10,Citeseer,Perturbation Size,S=80,13,0.611
10,Citeseer,Perturbation Size,S=80,14,0.609
10,Citeseer,Perturbation Size,S=80,15,0.61
10,Citeseer,Perturbation Size,S=80,16,0.606
10,Citeseer,Perturbation Size,S=80,36,0.721
10,Citeseer,Perturbation Size,S=80,37,0.721
10,Citeseer,Perturbation Size,S=80,38,0.721
10,Citeseer,Perturbation Size,S=80,39,0.721
10,Citeseer,Perturbation Size,S=60,0,0.667
10,Citeseer,Perturbation Size,S=60,1,0.662
10,Citeseer,Perturbation Size,S=60,2,0.661
10,Citeseer,Perturbation Size,S=60,3,0.657
10,Citeseer,Perturbation Size,S=60,4,0.653
10,Citeseer,Perturbation Size,S=60,5,0.648
10,Citeseer,Perturbation Size,S=60,6,0.646
10,Citeseer,Perturbation Size,S=60,7,0.643
10,Citeseer,Perturbation Size,S=60,8,0.64
10,Citeseer,Perturbation Size,S=60,9,0.639
10,Citeseer,Perturbation Size,S=60,10,0.638
10,Citeseer,Perturbation Size,S=60,11,0.636
10,Citeseer,Perturbation Size,S=60,12,0.634
10,Citeseer,Perturbation Size,S=60,13,0.63
10,Citeseer,Perturbation Size,S=60,14,0.625
10,Citeseer,Perturbation Size,S=60,15,0.629
10,Citeseer,Perturbation Size,S=60,16,0.624
10,Citeseer,Perturbation Size,S=60,36,0.817
10,Citeseer,Perturbation Size,S=60,37,0.817
10,Citeseer,Perturbation Size,S=60,38,0.817
10,Citeseer,Perturbation Size,S=60,39,0.817
10,Citeseer,Perturbation Size,S=40,0,0.698
10,Citeseer,Perturbation Size,S=40,1,0.693
10,Citeseer,Perturbation Size,S=40,2,0.689
10,Citeseer,Perturbation Size,S=40,3,0.683
10,Citeseer,Perturbation Size,S=40,4,0.674
10,Citeseer,Perturbation Size,S=40,5,0.669
10,Citeseer,Perturbation Size,S=40,6,0.662
10,Citeseer,Perturbation Size,S=40,7,0.657
10,Citeseer,Perturbation Size,S=40,8,0.651
10,Citeseer,Perturbation Size,S=40,9,0.647
10,Citeseer,Perturbation Size,S=40,10,0.618
10,Citeseer,Perturbation Size,S=40,11,0.613
10,Citeseer,Perturbation Size,S=40,12,0.595
10,Citeseer,Perturbation Size,S=40,13,0.586
10,Citeseer,Perturbation Size,S=40,14,0.578
10,Citeseer,Perturbation Size,S=40,15,0.57
10,Citeseer,Perturbation Size,S=40,16,0.549
10,Citeseer,Perturbation Size,S=40,35,0.914
10,Citeseer,Perturbation Size,S=40,36,0.914
10,Citeseer,Perturbation Size,S=40,37,0.914
10,Citeseer,Perturbation Size,S=40,38,0.914
10,Citeseer,Perturbation Size,S=40,39,0.914
10,Pubmed,Perturbation Size,S=80,0,0.856
10,Pubmed,Perturbation Size,S=80,2,0.1
10,Pubmed,Perturbation Size,S=80,3,0.1
10,Pubmed,Perturbation Size,S=80,4,0.1
10,Pubmed,Perturbation Size,S=80,5,0.1
10,Pubmed,Perturbation Size,S=80,6,0.1
10,Pubmed,Perturbation Size,S=80,38,0.114
10,Pubmed,Perturbation Size,S=80,39,0.034
10,Pubmed,Perturbation Size,S=80,40,0.007
10,Pubmed,Perturbation Size,S=80,41,0.007
10,Pubmed,Perturbation Size,S=80,42,0.007
10,Pubmed,Perturbation Size,S=80,43,0.007
10,Pubmed,Perturbation Size,S=80,44,0.007
10,Pubmed,Perturbation Size,S=80,45,0.007
10,Pubmed,Perturbation Size,S=80,46,0.007
10,Pubmed,Perturbation Size,S=80,47,0.005
10,Pubmed,Perturbation Size,S=80,48,0.007
10,Pubmed,Perturbation Size,S=60,0,0.844
10,Pubmed,Perturbation Size,S=60,29,0.132
10,Pubmed,Perturbation Size,S=60,30,0.005
10,Pubmed,Perturbation Size,S=60,31,0.005
10,Pubmed,Perturbation Size,S=60,32,0.005
10,Pubmed,Perturbation Size,S=60,33,0.005
10,Pubmed,Perturbation Size,S=60,34,0.005
10,Pubmed,Perturbation Size,S=60,35,0.005
10,Pubmed,Perturbation Size,S=60,36,0.005
10,Pubmed,Perturbation Size,S=60,37,0.005
10,Pubmed,Perturbation Size,S=60,38,0.005
10,Pubmed,Perturbation Size,S=60,39,0.016
10,Pubmed,Perturbation Size,S=60,40,0.016
10,Pubmed,Perturbation Size,S=60,41,0.016
10,Pubmed,Perturbation Size,S=60,42,0.016
10,Pubmed,Perturbation Size,S=60,43,0.016
10,Pubmed,Perturbation Size,S=60,44,0.015
10,Pubmed,Perturbation Size,S=60,45,0.014
10,Pubmed,Perturbation Size,S=60,46,0.014
10,Pubmed,Perturbation Size,S=60,47,0.014
10,Pubmed,Perturbation Size,S=60,48,0.015
10,Pubmed,Perturbation Size,S=40,0,0.871
10,Pubmed,Perturbation Size,S=40,19,0.131
10,Pubmed,Perturbation Size,S=40,20,0.018
10,Pubmed,Perturbation Size,S=40,21,0.007
10,Pubmed,Perturbation Size,S=40,22,0.007
10,Pubmed,Perturbation Size,S=40,23,0.007
10,Pubmed,Perturbation Size,S=40,24,0.007
10,Pubmed,Perturbation Size,S=40,25,0.007
10,Pubmed,Perturbation Size,S=40,26,0.007
10,Pubmed,Perturbation Size,S=40,27,0.007
10,Pubmed,Perturbation Size,S=40,28,0.007
10,Pubmed,Perturbation Size,S=40,29,0.007
10,Pubmed,Perturbation Size,S=40,30,0.01
10,Pubmed,Perturbation Size,S=40,31,0.009
10,Pubmed,Perturbation Size,S=40,32,0.009
10,Pubmed,Perturbation Size,S=40,33,0.009
10,Pubmed,Perturbation Size,S=40,34,0.009
10,Pubmed,Perturbation Size,S=40,35,0.009
10,Pubmed,Perturbation Size,S=40,36,0.009
10,Pubmed,Perturbation Size,S=40,37,0.009
10,Pubmed,Perturbation Size,S=40,38,0.01
10,Amazon-C,Perturbation Size,S=80,0,0.817
10,Amazon-C,Perturbation Size,S=80,2,0.1
10,Amazon-C,Perturbation Size,S=80,3,0.1
10,Amazon-C,Perturbation Size,S=80,4,0.1
10,Amazon-C,Perturbation Size,S=80,5,0.1
10,Amazon-C,Perturbation Size,S=80,6,0.1
10,Amazon-C,Perturbation Size,S=80,38,0.234
10,Amazon-C,Perturbation Size,S=80,39,0.009
10,Amazon-C,Perturbation Size,S=80,40,0.007
10,Amazon-C,Perturbation Size,S=80,41,0.007
10,Amazon-C,Perturbation Size,S=80,42,0.007
10,Amazon-C,Perturbation Size,S=80,43,0.007
10,Amazon-C,Perturbation Size,S=80,44,0.007
10,Amazon-C,Perturbation Size,S=80,45,0.007
10,Amazon-C,Perturbation Size,S=80,46,0.007
10,Amazon-C,Perturbation Size,S=80,47,0.005
10,Amazon-C,Perturbation Size,S=80,48,0.007
10,Amazon-C,Perturbation Size,S=60,0,0.8
10,Amazon-C,Perturbation Size,S=60,2,0.197
10,Amazon-C,Perturbation Size,S=60,3,0.197
10,Amazon-C,Perturbation Size,S=60,4,0.197
10,Amazon-C,Perturbation Size,S=60,5,0.197
10,Amazon-C,Perturbation Size,S=60,6,0.197
10,Amazon-C,Perturbation Size,S=60,29,0.007
10,Amazon-C,Perturbation Size,S=60,30,0.005
10,Amazon-C,Perturbation Size,S=60,31,0.005
10,Amazon-C,Perturbation Size,S=60,32,0.005
10,Amazon-C,Perturbation Size,S=60,33,0.005
10,Amazon-C,Perturbation Size,S=60,34,0.005
10,Amazon-C,Perturbation Size,S=60,35,0.005
10,Amazon-C,Perturbation Size,S=60,36,0.005
10,Amazon-C,Perturbation Size,S=60,37,0.005
10,Amazon-C,Perturbation Size,S=60,38,0.005
10,Amazon-C,Perturbation Size,S=60,39,0.016
10,Amazon-C,Perturbation Size,S=60,40,0.016
10,Amazon-C,Perturbation Size,S=60,41,0.016
10,Amazon-C,Perturbation Size,S=60,42,0.016
10,Amazon-C,Perturbation Size,S=60,43,0.016
10,Amazon-C,Perturbation Size,S=60,44,0.015
10,Amazon-C,Perturbation Size,S=60,45,0.014
10,Amazon-C,Perturbation Size,S=60,46,0.014
10,Amazon-C,Perturbation Size,S=60,47,0.014
10,Amazon-C,Perturbation Size,S=60,48,0.015
10,Amazon-C,Perturbation Size,S=40,0,0.834
10,Amazon-C,Perturbation Size,S=40,1,0.839
10,Amazon-C,Perturbation Size,S=40,19,0.106
10,Amazon-C,Perturbation Size,S=40,20,0.007
10,Amazon-C,Perturbation Size,S=40,21,0.007
10,Amazon-C,Perturbation Size,S=40,22,0.007
10,Amazon-C,Perturbation Size,S=40,23,0.007
10,Amazon-C,Perturbation Size,S=40,24,0.007
10,Amazon-C,Perturbation Size,S=40,25,0.007
10,Amazon-C,Perturbation Size,S=40,26,0.007
10,Amazon-C,Perturbation Size,S=40,27,0.007
10,Amazon-C,Perturbation Size,S=40,28,0.007
10,Amazon-C,Perturbation Size,S=40,29,0.01
10,Amazon-C,Perturbation Size,S=40,30,0.01
10,Amazon-C,Perturbation Size,S=40,31,0.009
10,Amazon-C,Perturbation Size,S=40,32,0.009
10,Amazon-C,Perturbation Size,S=40,33,0.009
10,Amazon-C,Perturbation Size,S=40,34,0.009
10,Amazon-C,Perturbation Size,S=40,35,0.009
10,Amazon-C,Perturbation Size,S=40,36,0.009
10,Amazon-C,Perturbation Size,S=40,37,0.009
11,Cora-ML,Perturbation Size,S=80,0,0.659
11,Cora-ML,Perturbation Size,S=80,1,0.656
11,Cora-ML,Perturbation Size,S=80,2,0.654
11,Cora-ML,Perturbation Size,S=80,3,0.652
11,Cora-ML,Perturbation Size,S=80,4,0.652
11,Cora-ML,Perturbation Size,S=80,5,0.652
11,Cora-ML,Perturbation Size,S=80,6,0.651
11,Cora-ML,Perturbation Size,S=80,7,0.648
11,Cora-ML,Perturbation Size,S=80,8,0.646
11,Cora-ML,Perturbation Size,S=80,9,0.644
11,Cora-ML,Perturbation Size,S=80,10,0.641
11,Cora-ML,Perturbation Size,S=80,11,0.64
11,Cora-ML,Perturbation Size,S=80,12,0.639
11,Cora-ML,Perturbation Size,S=80,13,0.637
11,Cora-ML,Perturbation Size,S=80,14,0.634
11,Cora-ML,Perturbation Size,S=80,15,0.633
11,Cora-ML,Perturbation Size,S=80,16,0.629
11,Cora-ML,Perturbation Size,S=80,17,0.629
11,Cora-ML,Perturbation Size,S=80,36,0.721
11,Cora-ML,Perturbation Size,S=80,37,0.721
11,Cora-ML,Perturbation Size,S=80,38,0.721
11,Cora-ML,Perturbation Size,S=80,39,0.721
11,Cora-ML,Perturbation Size,S=60,0,0.691
11,Cora-ML,Perturbation Size,S=60,1,0.686
11,Cora-ML,Perturbation Size,S=60,2,0.686
11,Cora-ML,Perturbation Size,S=60,3,0.684
11,Cora-ML,Perturbation Size,S=60,4,0.679
11,Cora-ML,Perturbation Size,S=60,5,0.677
11,Cora-ML,Perturbation Size,S=60,6,0.674
11,Cora-ML,Perturbation Size,S=60,7,0.669
11,Cora-ML,Perturbation Size,S=60,8,0.664
11,Cora-ML,Perturbation Size,S=60,9,0.66
11,Cora-ML,Perturbation Size,S=60,10,0.659
11,Cora-ML,Perturbation Size,S=60,11,0.657
11,Cora-ML,Perturbation Size,S=60,12,0.655
11,Cora-ML,Perturbation Size,S=60,13,0.649
11,Cora-ML,Perturbation Size,S=60,14,0.646
11,Cora-ML,Perturbation Size,S=60,15,0.648
11,Cora-ML,Perturbation Size,S=60,16,0.644
11,Cora-ML,Perturbation Size,S=60,17,0.611
11,Cora-ML,Perturbation Size,S=60,36,0.817
11,Cora-ML,Perturbation Size,S=60,37,0.817
11,Cora-ML,Perturbation Size,S=60,38,0.817
11,Cora-ML,Perturbation Size,S=60,39,0.817
11,Cora-ML,Perturbation Size,S=40,0,0.647
11,Cora-ML,Perturbation Size,S=40,1,0.644
11,Cora-ML,Perturbation Size,S=40,2,0.641
11,Cora-ML,Perturbation Size,S=40,3,0.637
11,Cora-ML,Perturbation Size,S=40,4,0.634
11,Cora-ML,Perturbation Size,S=40,5,0.634
11,Cora-ML,Perturbation Size,S=40,6,0.625
11,Cora-ML,Perturbation Size,S=40,7,0.616
11,Cora-ML,Perturbation Size,S=40,8,0.609
11,Cora-ML,Perturbation Size,S=40,9,0.605
11,Cora-ML,Perturbation Size,S=40,10,0.6
11,Cora-ML,Perturbation Size,S=40,11,0.591
11,Cora-ML,Perturbation Size,S=40,12,0.579
11,Cora-ML,Perturbation Size,S=40,13,0.575
11,Cora-ML,Perturbation Size,S=40,14,0.568
11,Cora-ML,Perturbation Size,S=40,15,0.554
11,Cora-ML,Perturbation Size,S=40,16,0.538
11,Cora-ML,Perturbation Size,S=40,17,0.506
11,Cora-ML,Perturbation Size,S=40,35,0.914
11,Cora-ML,Perturbation Size,S=40,36,0.914
11,Cora-ML,Perturbation Size,S=40,37,0.914
11,Cora-ML,Perturbation Size,S=40,38,0.914
11,Cora-ML,Perturbation Size,S=40,39,0.914
11,Citeseer,Perturbation Size,S=80,0,0.654
11,Citeseer,Perturbation Size,S=80,1,0.653
11,Citeseer,Perturbation Size,S=80,2,0.649
11,Citeseer,Perturbation Size,S=80,3,0.645
11,Citeseer,Perturbation Size,S=80,4,0.645
11,Citeseer,Perturbation Size,S=80,5,0.643
11,Citeseer,Perturbation Size,S=80,6,0.639
11,Citeseer,Perturbation Size,S=80,7,0.637
11,Citeseer,Perturbation Size,S=80,8,0.634
11,Citeseer,Perturbation Size,S=80,9,0.63
11,Citeseer,Perturbation Size,S=80,10,0.623
11,Citeseer,Perturbation Size,S=80,11,0.622
11,Citeseer,Perturbation Size,S=80,12,0.622
11,Citeseer,Perturbation Size,S=80,13,0.616
11,Citeseer,Perturbation Size,S=80,14,0.614
11,Citeseer,Perturbation Size,S=80,15,0.615
11,Citeseer,Perturbation Size,S=80,16,0.608
11,Citeseer,Perturbation Size,S=80,36,0.721
11,Citeseer,Perturbation Size,S=80,37,0.721
11,Citeseer,Perturbation Size,S=80,38,0.721
11,Citeseer,Perturbation Size,S=80,39,0.721
11,Citeseer,Perturbation Size,S=60,0,0.684
11,Citeseer,Perturbation Size,S=60,1,0.682
11,Citeseer,Perturbation Size,S=60,2,0.677
11,Citeseer,Perturbation Size,S=60,3,0.675
11,Citeseer,Perturbation Size,S=60,4,0.675
11,Citeseer,Perturbation Size,S=60,5,0.67
11,Citeseer,Perturbation Size,S=60,6,0.666
11,Citeseer,Perturbation Size,S=60,7,0.661
11,Citeseer,Perturbation Size,S=60,8,0.657
11,Citeseer,Perturbation Size,S=60,9,0.655
11,Citeseer,Perturbation Size,S=60,10,0.652
11,Citeseer,Perturbation Size,S=60,11,0.648
11,Citeseer,Perturbation Size,S=60,12,0.646
11,Citeseer,Perturbation Size,S=60,13,0.64
11,Citeseer,Perturbation Size,S=60,14,0.634
11,Citeseer,Perturbation Size,S=60,15,0.634
11,Citeseer,Perturbation Size,S=60,16,0.63
11,Citeseer,Perturbation Size,S=60,36,0.817
11,Citeseer,Perturbation Size,S=60,37,0.817
