figure,dataset,x_axis,curve,lambda,M_lambda,y_max,source
6,SG+Wheel,lambda,T=90,7,0.092,7.5,measured
6,SG+Wheel,lambda,T=90,8,0.092,7.5,measured
6,FC,lambda,T=30,1,1.771,4,measured
6,FC,lambda,T=30,2,1.053,4,measured
6,FC,lambda,T=30,3,0.4,4,measured
6,FC,lambda,T=30,4,0.09,4,measured
6,FC,lambda,T=30,5,0.0,4,inferred
6,FC,lambda,T=50,1,2.351,4,measured
6,FC,lambda,T=50,2,1.42,4,measured
6,FC,lambda,T=50,3,0.694,4,measured
6,FC,lambda,T=50,4,0.082,4,measured
6,FC,lambda,T=50,5,0.082,4,measured
6,FC,lambda,T=70,1,2.873,4,measured
6,FC,lambda,T=70,2,1.763,4,measured
6,FC,lambda,T=70,3,0.833,4,measured
6,FC,lambda,T=70,4,0.0,4,inferred
6,FC,lambda,T=70,5,0.09,4,measured
6,FC,lambda,T=90,1,3.363,4,measured
6,FC,lambda,T=90,2,2.196,4,measured
6,FC,lambda,T=90,3,1.208,4,measured
6,FC,lambda,T=90,4,0.049,4,measured
6,FC,lambda,T=90,5,0.049,4,measured
7,SG+House,lambda,T=30,1,5.0,10,measured
7,SG+House,lambda,T=30,2,3.612,10,measured
7,SG+House,lambda,T=30,3,1.918,10,measured
7,SG+House,lambda,T=30,4,0.653,10,measured
7,SG+House,lambda,T=30,5,0.0,10,inferred
7,SG+House,lambda,T=30,6,0.224,10,measured
7,SG+House,lambda,T=50,1,6.612,10,measured
7,SG+House,lambda,T=50,2,4.163,10,measured
7,SG+House,lambda,T=50,3,2.204,10,measured
7,SG+House,lambda,T=50,4,0.898,10,measured
7,SG+House,lambda,T=50,5,0.204,10,measured
7,SG+House,lambda,T=50,6,0.204,10,measured
7,SG+House,lambda,T=70,1,7.061,10,measured
7,SG+House,lambda,T=70,2,4.939,10,measured
7,SG+House,lambda,T=70,3,3.143,10,measured
7,SG+House,lambda,T=70,4,1.02,10,measured
7,SG+House,lambda,T=70,5,0.0,10,inferred
7,SG+House,lambda,T=70,6,0.0,10,inferred
7,SG+House,lambda,T=90,1,9.184,10,measured
7,SG+House,lambda,T=90,2,6.612,10,measured
7,SG+House,lambda,T=90,3,4.286,10,measured
7,SG+House,lambda,T=90,4,2.367,10,measured
7,SG+House,lambda,T=90,5,0.122,10,measured
7,SG+House,lambda,T=90,6,0.122,10,measured
7,SG+Diamond,lambda,T=30,1,2.684,5,measured
7,SG+Diamond,lambda,T=30,2,1.724,5,measured
7,SG+Diamond,lambda,T=30,3,0.878,5,measured
7,SG+Diamond,lambda,T=30,4,0.102,5,measured
7,SG+Diamond,lambda,T=30,5,0.0,5,inferred
7,SG+Diamond,lambda,T=50,1,3.612,5,measured
7,SG+Diamond,lambda,T=50,2,2.408,5,measured
7,SG+Diamond,lambda,T=50,3,1.265,5,measured
7,SG+Diamond,lambda,T=50,4,0.204,5,measured
7,SG+Diamond,lambda,T=50,5,0.102,5,measured
7,SG+Diamond,lambda,T=70,1,3.735,5,measured
7,SG+Diamond,lambda,T=70,2,2.51,5,measured
7,SG+Diamond,lambda,T=70,3,1.224,5,measured
7,SG+Diamond,lambda,T=70,4,0.0,5,inferred
7,SG+Diamond,lambda,T=70,5,0.112,5,measured
7,SG+Diamond,lambda,T=90,1,3.469,5,measured
7,SG+Diamond,lambda,T=90,2,2.306,5,measured
7,SG+Diamond,lambda,T=90,3,1.102,5,measured
7,SG+Diamond,lambda,T=90,4,0.061,5,measured
7,SG+Diamond,lambda,T=90,5,0.061,5,measured
7,SG+Wheel,lambda,T=30,1,5.066,7.5,measured
7,SG+Wheel,lambda,T=30,2,4.209,7.5,measured
7,SG+Wheel,lambda,T=30,3,3.383,7.5,measured
7,SG+Wheel,lambda,T=30,4,2.526,7.5,measured
7,SG+Wheel,lambda,T=30,5,1.622,7.5,measured
7,SG+Wheel,lambda,T=30,6,1.071,7.5,measured
7,SG+Wheel,lambda,T=30,7,0.184,7.5,measured
7,SG+Wheel,lambda,T=30,8,0.184,7.5,measured
7,SG+Wheel,lambda,T=50,1,5.602,7.5,measured
7,SG+Wheel,lambda,T=50,2,4.653,7.5,measured
7,SG+Wheel,lambda,T=50,3,3.735,7.5,measured
7,SG+Wheel,lambda,T=50,4,2.755,7.5,measured
7,SG+Wheel,lambda,T=50,5,1.745,7.5,measured
7,SG+Wheel,lambda,T=50,6,0.796,7.5,measured
7,SG+Wheel,lambda,T=50,7,0.153,7.5,measured
7,SG+Wheel,lambda,T=50,8,0.153,7.5,measured
7,SG+Wheel,lambda,T=70,1,5.908,7.5,measured
7,SG+Wheel,lambda,T=70,2,4.867,7.5,measured
7,SG+Wheel,lambda,T=70,3,3.827,7.5,measured
7,SG+Wheel,lambda,T=70,4,2.97,7.5,inferred
7,SG+Wheel,lambda,T=70,5,2.112,7.5,measured
7,SG+Wheel,lambda,T=70,6,0.949,7.5,inferred
7,SG+Wheel,lambda,T=70,7,0.0,7.5,inferred
7,SG+Wheel,lambda,T=70,8,0.0,7.5,inferred
7,SG+Wheel,lambda,T=90,1,6.827,7.5,measured
7,SG+Wheel,lambda,T=90,2,5.112,7.5,measured
