figure,dataset,x_axis,curve,lambda,M_lambda,y_max,source
9,SG+Wheel,lambda,p=0,8,0.184,7.5,measured
9,SG+Wheel,lambda,p=0.2,1,5.143,7.5,measured
9,SG+Wheel,lambda,p=0.2,2,4.316,7.5,measured
9,SG+Wheel,lambda,p=0.2,3,3.398,7.5,measured
9,SG+Wheel,lambda,p=0.2,4,2.51,7.5,measured
9,SG+Wheel,lambda,p=0.2,5,1.867,7.5,measured
9,SG+Wheel,lambda,p=0.2,6,0.949,7.5,measured
9,SG+Wheel,lambda,p=0.2,7,0.153,7.5,measured
9,SG+Wheel,lambda,p=0.2,8,0.153,7.5,measured
9,SG+Wheel,lambda,p=0.3,1,5.48,7.5,measured
9,SG+Wheel,lambda,p=0.3,2,4.133,7.5,measured
9,SG+Wheel,lambda,p=0.3,3,3.214,7.5,measured
9,SG+Wheel,lambda,p=0.3,4,1.913,7.5,measured
9,SG+Wheel,lambda,p=0.3,5,1.347,7.5,measured
9,SG+Wheel,lambda,p=0.3,6,0.673,7.5,inferred
9,SG+Wheel,lambda,p=0.3,7,0.0,7.5,inferred
9,SG+Wheel,lambda,p=0.3,8,0.0,7.5,inferred
9,SG+Wheel,lambda,p=0.4,1,4.929,7.5,measured
9,SG+Wheel,lambda,p=0.4,2,3.765,7.5,measured
9,SG+Wheel,lambda,p=0.4,3,3.0,7.5,measured
9,SG+Wheel,lambda,p=0.4,4,1.684,7.5,measured
9,SG+Wheel,lambda,p=0.4,5,1.684,7.5,measured
9,SG+Wheel,lambda,p=0.4,6,0.673,7.5,measured
9,SG+Wheel,lambda,p=0.4,7,0.092,7.5,measured
9,SG+Wheel,lambda,p=0.4,8,0.092,7.5,measured
9,FC,lambda,p=0,1,0.057,4,measured
9,FC,lambda,p=0,2,0.057,4,measured
9,FC,lambda,p=0,3,0.057,4,measured
9,FC,lambda,p=0,4,0.09,4,measured
9,FC,lambda,p=0,5,0.0,4,inferred
9,FC,lambda,p=0.2,1,2.4,4,measured
9,FC,lambda,p=0.2,2,1.437,4,measured
9,FC,lambda,p=0.2,3,0.669,4,measured
9,FC,lambda,p=0.2,4,0.082,4,measured
9,FC,lambda,p=0.2,5,0.082,4,measured
9,FC,lambda,p=0.3,1,2.906,4,measured
9,FC,lambda,p=0.3,2,1.837,4,measured
9,FC,lambda,p=0.3,3,0.784,4,measured
9,FC,lambda,p=0.3,4,0.0,4,inferred
9,FC,lambda,p=0.3,5,0.09,4,measured
9,FC,lambda,p=0.4,1,2.792,4,measured
9,FC,lambda,p=0.4,2,1.747,4,measured
9,FC,lambda,p=0.4,3,0.898,4,measured
9,FC,lambda,p=0.4,4,0.049,4,measured
9,FC,lambda,p=0.4,5,0.049,4,measured
10,SG+Wheel,lambda,γ=0.2,1,4.898,7.5,measured
10,SG+Wheel,lambda,γ=0.2,2,3.735,7.5,measured
10,SG+Wheel,lambda,γ=0.2,3,2.755,7.5,measured
10,SG+Wheel,lambda,γ=0.2,4,1.622,7.5,measured
10,SG+Wheel,lambda,γ=0.2,5,1.179,7.5,measured
10,SG+Wheel,lambda,γ=0.2,6,0.551,7.5,measured
10,SG+Wheel,lambda,γ=0.2,7,0.153,7.5,measured
10,SG+Wheel,lambda,γ=0.2,8,0.153,7.5,measured
10,SG+Wheel,lambda,γ=0.3,1,5.48,7.5,measured
10,SG+Wheel,lambda,γ=0.3,2,4.102,7.5,measured
10,SG+Wheel,lambda,γ=0.3,3,3.092,7.5,measured
10,SG+Wheel,lambda,γ=0.3,4,1.776,7.5,measured
10,SG+Wheel,lambda,γ=0.3,5,1.286,7.5,measured
10,SG+Wheel,lambda,γ=0.3,6,0.582,7.5,measured
10,SG+Wheel,lambda,γ=0.3,7,0.0,7.5,inferred
10,SG+Wheel,lambda,γ=0.3,8,0.0,7.5,inferred
10,SG+Wheel,lambda,γ=0.4,1,5.112,7.5,measured
10,SG+Wheel,lambda,γ=0.4,2,4.332,7.5,measured
10,SG+Wheel,lambda,γ=0.4,3,3.291,7.5,measured
10,SG+Wheel,lambda,γ=0.4,4,1.898,7.5,measured
10,SG+Wheel,lambda,γ=0.4,5,1.469,7.5,measured
10,SG+Wheel,lambda,γ=0.4,6,0.735,7.5,measured
10,SG+Wheel,lambda,γ=0.4,7,0.092,7.5,measured
10,SG+Wheel,lambda,γ=0.4,8,0.092,7.5,measured
10,FC,lambda,γ=0.2,1,2.204,4,measured
10,FC,lambda,γ=0.2,2,1.339,4,measured
10,FC,lambda,γ=0.2,3,0.571,4,measured
10,FC,lambda,γ=0.2,4,0.082,4,measured
10,FC,lambda,γ=0.2,5,0.082,4,measured
10,FC,lambda,γ=0.3,1,2.857,4,measured
10,FC,lambda,γ=0.3,2,1.796,4,measured
10,FC,lambda,γ=0.3,3,0.784,4,measured
10,FC,lambda,γ=0.3,4,0.0,4,inferred
10,FC,lambda,γ=0.3,5,0.09,4,measured
10,FC,lambda,γ=0.4,1,2.988,4,measured
10,FC,lambda,γ=0.4,2,1.682,4,measured
10,FC,lambda,γ=0.4,3,0.882,4,measured
10,FC,lambda,γ=0.4,4,0.049,4,measured
10,FC,lambda,γ=0.4,5,0.049,4,measured
11,SG+House,lambda,h=MD5,1,4.531,5,measured
11,SG+House,lambda,h=MD5,2,2.245,5,measured
11,SG+House,lambda,h=MD5,3,1.673,5,measured
11,SG+House,lambda,h=MD5,4,0.694,5,measured
11,SG+House,lambda,h=MD5,5,0.102,5,measured
11,SG+House,lambda,h=MD5,6,0.102,5,measured
11,SG+House,lambda,h=SHA1,1,4.327,5,measured
11,SG+House,lambda,h=SHA1,2,2.265,5,measured
11,SG+House,lambda,h=SHA1,3,1.459,5,measured
11,SG+House,lambda,h=SHA1,4,0.79,5,inferred
11,SG+House,lambda,h=SHA1,5,0.122,5,measured
11,SG+House,lambda,h=SHA1,6,0.0,5,inferred
11,SG+House,lambda,h=SHA256,1,4.735,5,measured
11,SG+House,lambda,h=SHA256,2,2.408,5,measured
11,SG+House,lambda,h=SHA256,3,1.571,5,measured
11,SG+House,lambda,h=SHA256,4,0.796,5,measured
11,SG+House,lambda,h=SHA256,5,0.061,5,measured
11,SG+House,lambda,h=SHA256,6,0.061,5,measured
11,SG+Diamond,lambda,h=MD5,1,3.061,5,measured
11,SG+Diamond,lambda,h=MD5,2,1.673,5,measured
11,SG+Diamond,lambda,h=MD5,3,0.878,5,measured
11,SG+Diamond,lambda,h=MD5,4,0.102,5,measured
11,SG+Diamond,lambda,h=MD5,5,0.102,5,measured
11,SG+Diamond,lambda,h=SHA1,1,3.204,5,measured
11,SG+Diamond,lambda,h=SHA1,2,1.98,5,measured
11,SG+Diamond,lambda,h=SHA1,3,1.143,5,measured
11,SG+Diamond,lambda,h=SHA1,4,0.0,5,inferred
11,SG+Diamond,lambda,h=SHA1,5,0.112,5,measured
11,SG+Diamond,lambda,h=SHA256,1,2.898,5,measured
11,SG+Diamond,lambda,h=SHA256,2,1.796,5,measured
11,SG+Diamond,lambda,h=SHA256,3,1.02,5,measured
11,SG+Diamond,lambda,h=SHA256,4,0.061,5,measured
11,SG+Diamond,lambda,h=SHA256,5,0.061,5,measured
11,SG+Wheel,lambda,h=MD5,1,5.602,7.5,measured
11,SG+Wheel,lambda,h=MD5,2,4.286,7.5,measured
11,SG+Wheel,lambda,h=MD5,3,3.0,7.5,measured
11,SG+Wheel,lambda,h=MD5,4,1.99,7.5,measured
11,SG+Wheel,lambda,h=MD5,5,1.454,7.5,measured
11,SG+Wheel,lambda,h=MD5,6,0.582,7.5,measured
11,SG+Wheel,lambda,h=MD5,7,0.153,7.5,measured
11,SG+Wheel,lambda,h=MD5,8,0.153,7.5,measured
11,SG+Wheel,lambda,h=SHA1,1,5.204,7.5,measured
11,SG+Wheel,lambda,h=SHA1,2,3.949,7.5,measured
11,SG+Wheel,lambda,h=SHA1,3,3.367,7.5,measured
11,SG+Wheel,lambda,h=SHA1,4,1.898,7.5,measured
11,SG+Wheel,lambda,h=SHA1,5,1.347,7.5,measured
11,SG+Wheel,lambda,h=SHA1,6,0.796,7.5,measured
11,SG+Wheel,lambda,h=SHA1,7,0.0,7.5,inferred
11,SG+Wheel,lambda,h=SHA1,8,0.0,7.5,inferred
11,SG+Wheel,lambda,h=SHA256,1,5.388,7.5,measured
11,SG+Wheel,lambda,h=SHA256,2,4.163,7.5,measured
11,SG+Wheel,lambda,h=SHA256,3,3.184,7.5,measured
11,SG+Wheel,lambda,h=SHA256,4,1.653,7.5,measured
11,SG+Wheel,lambda,h=SHA256,5,1.056,7.5,measured
11,SG+Wheel,lambda,h=SHA256,6,0.551,7.5,measured
11,SG+Wheel,lambda,h=SHA256,7,0.092,7.5,measured
